지역명,도로명,구간명,구간,방향,5km,발생건수,위도,경도
경기도,화성,서해안고속도로,310~315,상행,310,3,37.21747062,126.8719943
경기도,화성,서해안고속도로,310~315,하행,310,3,37.21747062,126.8719943
경기도,안산,서해안고속도로1차선로,100~105,상행,100,4,37.41908589,126.828963
경기도,용인,중부고속도로,325~330,하행,325,6,37.24895724,127.4213702
경기도,용인,중부고속도로,325~330,상행,325,3,37.24895724,127.4213702
경기도,용인,중부고속도로,345~350,하행,345,3,37.39776704,127.3107927
경기도,용인,중부고속도로,320~325,하행,320,3,37.20776468,127.4422137
강원,강릉,동해고속도로,15~20,하행,15,3,37.48629241,129.0907032
강원,강릉,동해고속도로,25~30,상행,25,3,37.57440212,129.095934
강원,원주,중앙고속도로,90~95,하행,90,3,37.2367515,127.6082536
강원,원주,중앙고속도로,120~125,하행,120,3,37.3461271,127.8714305
강원,원주,중앙고속도로,125~130,하행,125,3,37.36874775,127.9176649
강원,원주,중앙고속도로,155~160,하행,155,4,37.47547139,128.155756
강원,평창,중부고속도로,315~320,하행,315,9,37.16308804,127.4400352
강원,평창,중부고속도로,325~330,하행,325,5,37.24895724,127.4213702
강원,평창,중부고속도로,360~365,하행,360,4,37.50779374,127.2272491
강원,평창,중부고속도로,370~375,하행,370,3,37.53205567,127.1953621
강원,평창,중부고속도로,380~385,하행,380,4,37.53205567,127.1953621
충북,제천,중부내륙고속도로,180~185,하행,180,4,36.69384504,128.1116517
충북,청주,중부고속도로,245~250,상행,245,3,36.57914957,127.4275038
충북,청주,중부고속도로,250~255,하행,250,4,36.62226637,127.4202485
충북,청주,중부고속도로,255~260,상행,255,3,36.666547,127.4240858
충북,청주,중부고속도로,255~260,하행,255,3,36.666547,127.4240858
충북,청주,중부고속도로,260~265,상행,260,4,36.70880232,127.4375391
충북,청주,중부고속도로,265~270,하행,265,6,36.74561896,127.4691292
충북,청주,중부고속도로,265~270,상행,265,3,36.74561896,127.4691292
충북,청주,중부고속도로,275~280,상행,275,5,36.81738099,127.4910263
충북,청주,중부고속도로,295~300,상행,295,3,36.99133404,127.474735
충북,청주,중부고속도로,295~300,하행,295,4,36.99133404,127.474735
충북,청주,중부고속도로,305~310,상행,305,3,37.07745194,127.4625306
충북,청주,중부고속도로,305~310,하행,305,4,37.07745194,127.4625306
충북,청주,중부내륙고속도로,265~270,하행,265,3,36.74561896,127.4691292
충북,청주,중부내륙고속도로,270~275,하행,270,3,36.77827315,127.5066813
충북,청주,중부고속도로,295~300,하행,295,3,36.99133404,127.474735
충북,청주,중부고속도로,305~310,하행,305,3,37.07745194,127.4625306
충북,청주,중부내륙고속도로,310~315,하행,310,4,37.1185146,127.4448232
충남,공주,무한고속도로,5~10,하행,5,3,36.81626191,126.6534305
충남,공주,무한고속도로,40~45,무한,40,4,36.59005302,126.9009977
충남,공주,무한고속도로,70~75,하행,70,3,36.49757054,127.1654894
충남,세종,세종청주고속도로,55~60,하행,55,4,36.9473256,127.4426183
대전광역,대전,중부고속도로,295~300,하행,295,3,36.55093021,127.4318744
대전광역,유성,중부고속도로,310~315,하행,310,4,36.66848896,127.3727573
대전광역,유성,중부고속도로,325~330,하행,325,3,36.7345899,127.2563955
대전광역,대전,서해안고속도로지선,0~5,하행,0,3,36.85091497,126.6184162
대전광역,대전,서해안고속도로지선,5~10,하행,5,6,36.81626191,126.6534305
대전광역,대전,서해안고속도로지선,10~15,하행,10,4,36.78257842,126.6897475
대전광역,대전,서해안고속도로지선,15~20,하행,15,3,36.74494991,126.7199593
대전광역,대전,서해안고속도로지선,55~60,하행,55,3,36.50495049,127.0121259
대전광역,대전,서해안고속도로지선,70~75,하행,70,3,36.49757054,127.1654894
대전광역,대전,서해안고속도로지선,75~80,하행,75,4,36.48780464,127.2162697
대전광역,서구,서해안고속도로지선,15~20,하행,15,3,36.17181279,126.7750172
대전광역,서구,서해안고속도로지선,20~25,하행,20,3,36.21674456,126.7772633
대전광역,서구,서해안고속도로지선,25~30,하행,25,5,36.2578517,126.7980863
대전광역,서구,서해안고속도로지선,30~35,하행,30,3,36.28728694,126.8384186
대전광역,서구,서해안고속도로지선,55~60,하행,55,3,36.44453615,127.0306515
대전광역,서구,서해안고속도로지선,55~60,하행,55,4,36.44453615,127.0306515
대전광역,대전,호남고속도로,40~45,회덕,40,3,36.34065836,127.3188678
대전광역,대전,호남고속도로,45~50,회덕,45,3,36.38288104,127.3364895
대전광역,대전,호남고속도로,45~50,하행,45,3,36.38288104,127.3364895
대구,달성,동해고속도로지선,5~10,하행,5,3,35.94308961,128.6978116
대구,달성,동해고속도로지선,15~20,하행,15,3,35.95428288,128.8037879
대구,달성,동해고속도로지선,15~20,하행,15,3,35.95428288,128.8037879
전북,익산,서해안고속도로,60~65,하행,60,3,35.31438261,126.5660341
전북,익산,서해안고속도로,60~65,하행,60,3,35.31438261,126.5660341
전북,익산,서해안고속도로,65~70,하행,65,3,35.35714229,126.5834406
전북,익산,서해안고속도로,70~75,하행,70,5,35.38985361,126.620382
전북,익산,서해안고속도로,75~80,하행,75,4,35.42328638,126.6566442
전북,익산,서해안고속도로,90~95,하행,90,4,35.55462877,126.6921333
전북,익산,서해안고속도로,95~100,하행,95,4,35.59921788,126.6963034
전북,익산,서해안고속도로,100~105,하행,100,4,35.6408447,126.7108434
전북,익산,서해안고속도로,140~145,하행,140,4,35.96858774,126.8361901
전북,전주,호남고속도로,160~165,하행,160,3,35.79845501,127.023669
전북,전주,호남고속도로,5~10,회덕,5,3,36.11999833,127.129541
전라남도,광주,호남고속도로,50~55,하행,50,6,35.4147937,127.3358398
전라남도,나주,동해고속도로,10~15,하행,10,3,34.98692979,127.5821045
전라남도,나주,동해고속도로,20~25,하행,20,4,34.97673035,127.6690088
전라남도,목포,서해안고속도로,0~5,하행,0,3,35.00325992,126.3937385
전라남도,목포,서해안고속도로,15~20,하행,15,4,35.04682455,126.5399563
전라남도,목포,서해안고속도로,10~15,하행,10,3,34.88803795,126.4977922
전라남도,목포,서해안고속도로,15~20,하행,15,3,34.93274329,126.4998621
전라남도,목포,서해안고속도로,30~35,하행,30,3,35.06495443,126.4796394
전라남도,목포,서해안고속도로,30~35,하행,30,3,35.06495443,126.4796394
전라남도,목포,서해안고속도로,35~40,하행,35,3,35.1099659,126.481287
전라남도,목포,서해안고속도로,55~60,하행,55,3,35.27329611,126.5436837
경상북도,경주,호남고속도로,165~170,하행,165,5,35.75369753,128.3595821
경상남도,마산,동해1호선,0~5,하행,0,3,35.27140039,128.4744032
경상남도,마산,동해고속도로,130~135,하행,130,4,35.27176564,128.6581966
